load_type,pieces,origin_city,destination_city,fuel_surcharge_rate,actual_duration_hours,primary_freight_type,weight_kg,distance_km,fuel_quantity_liters,avg_fuel_price_aud_per_liter,total_fuel_cost_aud,revenue_aud,fuel_surcharge_aud,base_rate_per_km_aud,annual_revenue_potential_aud
Dry Van,13,Houston,Detroit,0.32,26.2,Electronics,8698.99447186,2045.4711399999999,761.624492,1.9045162875355643,1461.4687500000002,5481.414,732.096,2.6060372575092896,3335938.1999999997
Dry Van,22,Kansas City,Indianapolis,0.19,8.6,Electronics,12592.177783570001,835.24746,710.8999980000001,1.9852539090877872,1411.3125000000002,2204.064,177.498,2.538929001951111,2790739.8
Refrigerated,16,Columbus,Portland,0.34,45.0,Automotive,16145.16681778,3752.98088,3514.753185,2.001682116336143,7118.23125,12908.016,1427.184,3.0086867908583645,3410206.1999999997
Refrigerated,10,Phoenix,Denver,0.21,11.1,Consumer Goods,15092.832519380001,1083.08582,,,,2354.76,254.394,1.9014005741484086,6737776.2
Dry Van,10,Houston,Seattle,0.34,35.0,Electronics,18260.268039090002,3495.48648,526.929072,1.823778665983341,960.99375,5970.923999999999,1329.264,1.9796935389662844,3379208.4
Refrigerated,10,Chicago,Portland,0.19,39.4,Automotive,15726.50106027,3246.03878,2920.443815,2.1038341949749166,6208.25625,6449.004,689.814,2.0579865037841603,457657.2
Dry Van,4,Las Vegas,Kansas City,0.24,20.9,Consumer Goods,6590.6971361000005,2109.84474,399.73929599999997,1.8871799884292586,754.3875,6970.428000000001,566.352,3.031056209377757,1475753.4
Refrigerated,26,Philadelphia,Seattle,0.17,50.5,Food/Beverage,7677.95804699,4391.88886,469.769381,2.321578111750114,1090.6125,10646.819999999998,835.074,2.79617731492413,8540033.4
Refrigerated,3,Miami,Seattle,0.18,51.4,General,17673.77310468,5054.93694,,,,8566.956,1017.6839999999999,1.8454770278499257,7466005.8
Refrigerated,8,Miami,Seattle,0.18,60.2,Electronics,13259.86575221,5054.93694,,,,10302.102,1017.6839999999999,1.8454770278499257,1619947.8
Refrigerated,20,Kansas City,Indianapolis,0.19,9.9,Electronics,15822.209050340001,835.24746,408.82428000000004,2.289382127695547,935.9625,2171.8619999999996,177.498,2.538929001951111,6197556.6
Refrigerated,17,Memphis,Minneapolis,0.34,14.3,General,17487.34664061,1293.90936,2001.724808,2.0531131370181828,4161.1875,2247.12,492.048,1.8231076093305327,8796799.799999999
Dry Van,1,Atlanta,Miami,0.22,12.4,Retail,18449.869649750002,1121.70998,1740.152977,2.063514916481966,3586.05,2775.204,276.012,2.3264195260168763,2535388.1999999997
Refrigerated,12,Portland,Detroit,0.2,35.0,Food/Beverage,14566.66537018,3635.49906,967.1722550000001,2.203938939243041,2131.81875,8907.606,813.24,2.2257571426796074,8540033.4
Dry Van,24,Chicago,Charlotte,0.28,11.4,Electronics,5312.47383744,1086.3045,303.211341,2.228952742239282,675.84375,2315.196,340.2,2.3823430723153587,6469266.6
Refrigerated,5,Philadelphia,New York,0.15,1.9,Food/Beverage,10914.793199310001,148.05928,,,,404.4599999999999,24.840000000000003,3.12053388345533,7011063.0
Dry Van,18,Kansas City,Los Angeles,0.19,25.5,Automotive,15549.600035970001,2505.74238,1257.134661,2.3083695029072144,2875.2937500000007,6339.312,532.494,2.2481265611990007,6681661.2
