load_type,pieces,origin_city,destination_city,fuel_surcharge_rate,actual_duration_hours,primary_freight_type,weight_kg,distance_km,fuel_quantity_liters,avg_fuel_price_aud_per_liter,total_fuel_cost_aud,revenue_aud,fuel_surcharge_aud,base_rate_per_km_aud,annual_revenue_potential_aud
Dry Van,13,Houston,Detroit,0.32,26.2,Electronics,8698.99447186,2045.4711399999999,761.624492,1.9045162875355643,1461.4687500000002,5253.02175,701.592,2.497452371779736,3196940.775
Dry Van,22,Kansas City,Indianapolis,0.19,8.6,Electronics,12592.177783570001,835.24746,710.8999980000001,1.9852539090877872,1411.3125000000002,2112.228,170.10224999999997,2.433140293536481,2674458.9749999996
Refrigerated,16,Columbus,Portland,0.34,45.0,Automotive,16145.16681778,3752.98088,3514.753185,2.001682116336143,7118.23125,12370.181999999999,1367.7179999999998,2.883324841239266,3268114.275
Refrigerated,10,Phoenix,Denver,0.21,11.1,Consumer Goods,15092.832519380001,1083.08582,,,,2256.645,243.79424999999998,1.822175550225558,6457035.524999999
Dry Van,10,Houston,Seattle,0.34,35.0,Electronics,18260.268039090002,3495.48648,526.929072,1.823778665983341,960.99375,5722.135499999999,1273.878,1.8972063081760226,3238408.05
Refrigerated,10,Chicago,Portland,0.19,39.4,Automotive,15726.50106027,3246.03878,2920.443815,2.1038341949749166,6208.25625,6180.295499999999,661.07175,1.9722370661264867,438588.14999999997
Dry Van,4,Las Vegas,Kansas City,0.24,20.9,Consumer Goods,6590.6971361000005,2109.84474,399.73929599999997,1.8871799884292586,754.3875,6679.9935000000005,542.7539999999999,2.9047622006536837,1414263.6749999998
Refrigerated,26,Philadelphia,Seattle,0.17,50.5,Food/Beverage,7677.95804699,4391.88886,469.769381,2.321578111750114,1090.6125,10203.202499999998,800.2792499999999,2.6796699268022914,8184198.675
Refrigerated,3,Miami,Seattle,0.18,51.4,General,17673.77310468,5054.93694,,,,8209.9995,975.2804999999998,1.768582151689512,7154922.225
Refrigerated,8,Miami,Seattle,0.18,60.2,Electronics,13259.86575221,5054.93694,,,,9872.84775,975.2804999999998,1.768582151689512,1552449.9749999999
Refrigerated,20,Kansas City,Indianapolis,0.19,9.9,Electronics,15822.209050340001,835.24746,408.82428000000004,2.289382127695547,935.9625,2081.3677499999994,170.10224999999997,2.433140293536481,5939325.074999999
Refrigerated,17,Memphis,Minneapolis,0.34,14.3,General,17487.34664061,1293.90936,2001.724808,2.0531131370181828,4161.1875,2153.49,471.546,1.7471447922750938,8430266.475
Dry Van,1,Atlanta,Miami,0.22,12.4,Retail,18449.869649750002,1121.70998,1740.152977,2.063514916481966,3586.05,2659.5705,264.51149999999996,2.2294853790995064,2429747.025
Refrigerated,12,Portland,Detroit,0.2,35.0,Food/Beverage,14566.66537018,3635.49906,967.1722550000001,2.203938939243041,2131.81875,8536.45575,779.355,2.133017261734624,8184198.675
Dry Van,24,Chicago,Charlotte,0.28,11.4,Electronics,5312.47383744,1086.3045,303.211341,2.228952742239282,675.84375,2218.7295,326.025,2.283078777635552,6199713.824999999
Refrigerated,5,Philadelphia,New York,0.15,1.9,Food/Beverage,10914.793199310001,148.05928,,,,387.6074999999999,23.805,2.9905116383113572,6718935.374999999
Dry Van,18,Kansas City,Los Angeles,0.19,25.5,Automotive,15549.600035970001,2505.74238,1257.134661,2.3083695029072144,2875.2937500000007,6075.174,510.30674999999997,2.154454621149042,6403258.649999999
Refrigerated,9,Las Vegas,Kansas City,0.24,25.8,General,16277.162197450001,2109.84474,2115.287108,2.0096485585445167,4277.306250000001,6249.657749999999,542.7539999999999,2.9047622006536837,5707219.425
Refrigerated,28,Phoenix,Philadelphia,0.19,44.7,Consumer Goods,8960.263676980001,3844.71326,1148.114853,2.279970993894981,2588.3437499999995,10367.094749999998,782.99475,2.9047622006536837,337958.55
Dry Van,23,Atlanta,Chicago,0.19,10.3,Food/Beverage,12513.25271119,1089.52318,501.566825,2.141280601044537,1062.3,1847.0092499999998,221.88674999999998,1.822175550225558,8134644.6
Dry Van,6,Charlotte,Seattle,0.18,48.0,Electronics,8752.51837152,4221.29882,1423.3141600000001,1.9515719565383935,2773.0125,11287.589249999999,814.4415,2.5617644500229906,486525.89999999997
Refrigerated,18,Dallas,Indianapolis,0.17,14.6,General,8530.25811022,1413.00052,860.8022340000001,2.235887261881804,1900.65,3027.01275,257.47349999999994,2.090142542905787,8132367.6
